"Incident Zip","Problem Detail (formerly Descriptor)","count_descriptor"
"10455","Traffic Sign or Signal Blocked","1"
"10457","Hitting Power Lines","10"
"10031","Hitting Power Lines","1"
"10038","Blocking Street","11"
"11203","Hitting Power Lines","231"
"11208","Blocking Street","300"
"11204","Hitting Power/Phone Lines","9"
"11229","Blocking Street","394"
"10468","Hitting Power/Phone Lines","3"
"11225","Hitting Phone/Cable Lines","6"
"10471","Hitting Power/Phone Lines","16"
"11225","Hitting Power Lines","11"
"10302","Hitting Building","171"
"10474","Clear Street Light","1"
"10458","Blocking Street","44"
"11372","Dead Branches in Tree","167"
"10309","Traffic Sign or Signal Blocked","70"
"10306","Hitting Building","637"
"11223","Blocking Street","253"
"11358","Hitting Power/Phone Lines","28"
"10469","Hitting Phone/Cable Lines","129"
"10025","Traffic Sign or Signal Blocked","18"
"11373","Hitting Power Lines","114"
"11219","Hitting Power Lines","51"
"10028","Traffic Sign or Signal Blocked","7"
"11234","Blocking Street","580"
,"Traffic Sign or Signal Blocked","77"
"10312","Blocking Street","653"
"11429","Hitting Phone/Cable Lines","52"
"11429","Hitting Building","194"
"10035","Clear Street Light","12"
,"Dead Branches in Tree","105"
"11365","Clear Street Light","41"
"10009","Hitting Power Lines","3"
"10030","Traffic Sign or Signal Blocked","8"
"10162","Dead Branches in Tree","1"
"11208","Hitting Power/Phone Lines","76"
"11205","Hitting Phone/Cable Lines","1"
"10310","Traffic Sign or Signal Blocked","19"
"10462","Hitting Building","267"
"11385","Traffic Sign or Signal Blocked","43"
"11229","Hitting Power Lines","254"
"10039","Traffic Sign or Signal Blocked","3"
"11379","Hitting Building","507"
"10463","Hitting Phone/Cable Lines","20"
"11357","Hitting Power/Phone Lines","50"
"11354","Hitting Building","239"
"10461","Traffic Sign or Signal Blocked","17"
"11691","Traffic Sign or Signal Blocked","16"
"10028","Hitting Building","38"
"10010","Blocking Street","7"
"11208","Traffic Sign or Signal Blocked","51"
,"Hitting Power/Phone Lines","45"
"11435","Hitting Power/Phone Lines","57"
"11414","Hitting Power Lines","105"
"10458","Hitting Power Lines","22"
"11206","Hitting Building","160"
"10016","Traffic Sign or Signal Blocked","5"
"10458","Hitting Power/Phone Lines","3"
"10470","Traffic Sign or Signal Blocked","10"
"11367","Hitting Power/Phone Lines","10"
"10314","Blocking Street","577"
"11105","Clear Street Light","18"
"10023","Clear Street Light","6"
"11220","Dead Branches in Tree","139"
"11368","Traffic Sign or Signal Blocked","10"
"11427","Hitting Power/Phone Lines","15"
"11417","Traffic Sign or Signal Blocked","26"
"10025","Dead Branches in Tree","88"
"11232","Hitting Building","87"
"10312","Hitting Building","546"
"11101","Hitting Power/Phone Lines","4"
"11231","Dead Branches in Tree","133"
"10307","Blocking Street","134"
"11372","Traffic Sign or Signal Blocked","17"
"11418","Blocking Street","133"
"11208","Hitting Power Lines","248"
"11358","Hitting Building","446"
"11379","Clear Street Light","46"
"10465","Hitting Power Lines","232"
"11414","Hitting Power/Phone Lines","33"
"10032","Hitting Power/Phone Lines","1"
"11427","Hitting Power Lines","64"
"11216","Hitting Phone/Cable Lines","14"
"11106","Hitting Building","245"
"10039","Blocking Street","19"
"10470","Hitting Power/Phone Lines","16"
"11204","Dead Branches in Tree","227"
"10469","Dead Branches in Tree","132"
"10460","Clear Street Light","15"
"10464","Traffic Sign or Signal Blocked","7"
"11434","Hitting Power Lines","345"
"11239","Traffic Sign or Signal Blocked","2"
"10001","Hitting Power/Phone Lines","1"
"11411","Hitting Phone/Cable Lines","26"
"11415","Traffic Sign or Signal Blocked","4"
"11228","Hitting Power Lines","207"
"10470","Hitting Building","136"
"11367","Hitting Building","316"
"11361","Clear Street Light","32"
"11040","Clear Street Light","1"
"10471","Hitting Building","70"
"11249","Hitting Power Lines","3"
"11415","Hitting Building","77"
